"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "TypeScript JSX", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\issue-books.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-books.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-fines.routes.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-staff.route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-students.route.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"d:\Programming\Projects\library\client\src\dashboard\admin\routes\profile.router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"d:\Programming\Projects\library\client\src\dashboard\admin\settings\manage-programs\manage-programs.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\Programming\Projects\library\client\src\dashboard\applicant\applicant.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"d:\Programming\Projects\library\client\src\dashboard\applicant\applied-status.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 5, 88
"d:\Programming\Projects\library\client\src\dashboard\applicant\apply-student.page.applicant.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 334, 0, 0, 20, 354
"d:\Programming\Projects\library\client\src\dashboard\dashboard.routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 3, 3, 55
"d:\Programming\Projects\library\client\src\dashboard\http-requests.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 23, 123
"d:\Programming\Projects\library\client\src\dashboard\login-page\forgot-password.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 177, 0, 1, 15, 193
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 15, 119
"d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"d:\Programming\Projects\library\client\src\dashboard\login-page\sign-up.page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 168, 0, 1, 11, 180
"d:\Programming\Projects\library\client\src\dashboard\staff\components\navbar\navbar.component.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 11, 113
"d:\Programming\Projects\library\client\src\dashboard\staff\hooks\http-requests.hooks.admin.js", "JavaScript", 0, 608, 0, 0, 0, 0, 0, 1, 47, 656
"d:\Programming\Projects\library\client\src\dashboard\staff\hooks\useSignOut.hooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\homepage\homepage.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-book-route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-new-book\issue-new-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 261, 0, 0, 18, 279
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\return-issued-book\return-issued-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 15, 214
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\search-issued-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 154, 0, 0, 12, 166
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\search-returned-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 11, 169
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 7, 62
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\view-book\view-book.issue-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 7, 69
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\add-book\add-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 12, 11, 187
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\book-accessions\add-book-accession.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 155, 0, 0, 13, 168
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\manage-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\search-books\search-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 11, 116
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\view-book\view-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 0, 8, 86
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\add-student\add-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 186, 0, 1, 11, 198
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\approve-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 9, 98
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 9, 126
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card\add-library-card.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 13, 161
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\manage-students.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\search-students\search-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 9, 93
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\view-student\view-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 8, 80
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\change-password\change-password.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 8, 96
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\profile.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\issue-books.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
