"filename", "language", "JSON", "JavaScript", "TypeScript JSX", "CSS", "JavaScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"d:\Programming\Projects\library\client\src\dashboard\staff\hooks\useSignOut.hooks.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\homepage\homepage.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-book-route.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-new-book\issue-new-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 267, 0, 0, 0, 18, 285
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\return-issued-book\return-issued-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 211, 0, 0, 0, 15, 226
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\search-issued-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 154, 0, 0, 0, 12, 166
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 7, 59
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\search-returned-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 162, 0, 0, 0, 11, 173
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 7, 62
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\view-book\view-book.issue-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 7, 69
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\add-book\add-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 166, 0, 0, 12, 11, 189
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\book-accessions\add-book-accession.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 157, 0, 0, 0, 13, 170
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\manage-books.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\search-books\search-books.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 105, 0, 0, 0, 11, 116
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\view-book\view-book.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 78, 0, 0, 0, 8, 86
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\add-student\add-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 188, 0, 0, 1, 11, 200
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\approve-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 9, 98
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\view-applicant.page.admin.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 9, 128
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card\add-library-card.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 152, 0, 0, 0, 13, 165
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\manage-students.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\search-students\search-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 9, 93
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\view-student\view-student.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 8, 80
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\change-password\change-password.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 90, 0, 0, 0, 8, 98
"d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\profile.page.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\issue-books.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-books.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-students.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\profile.router.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"d:\Programming\Projects\library\client\src\dashboard\staff\routes\staff-routes.route.staff.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"d:\Programming\Projects\library\client\src\dashboard\student\components\navbar\navbar.component.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 8, 94
"d:\Programming\Projects\library\client\src\dashboard\student\hooks\http-requests.hooks.student.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"d:\Programming\Projects\library\client\src\dashboard\student\pages\homepage\homepage.page.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Projects\library\client\src\dashboard\student\pages\issue-history\issue-history.page.student.jsx", "JavaScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 9, 141
"d:\Programming\Projects\library\client\src\dashboard\student\routes\student-routes.user.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"d:\Programming\Projects\library\client\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Programming\Projects\library\client\src\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Programming\Projects\library\client\src\utils\functions.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 9, 15, 79
"d:\Programming\Projects\library\package-lock.json", "JSON", 317, 0, 0, 0, 0, 0, 0, 0, 1, 318
"d:\Programming\Projects\library\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Programming\Projects\library\server\package-lock.json", "JSON", 3174, 0, 0, 0, 0, 0, 0, 0, 1, 3175
"d:\Programming\Projects\library\server\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Programming\Projects\library\server\src\app.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 1, 10, 38
"d:\Programming\Projects\library\server\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"d:\Programming\Projects\library\server\src\models\applications\applications.controllers.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 1, 17, 85
"d:\Programming\Projects\library\server\src\models\applications\applications.schema.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 0, 3, 63
"d:\Programming\Projects\library\server\src\models\auth\admin\aduth_admin.controllers.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Programming\Projects\library\server\src\models\auth\applicant\auth_applicant.controllers.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 8, 8, 57
"d:\Programming\Projects\library\server\src\models\auth\auth.controllers.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 12, 65
"d:\Programming\Projects\library\server\src\models\auth\auth.schema.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"d:\Programming\Projects\library\server\src\models\auth\functions.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 4, 29
